C0:56:27:3A:34:29,48:F8:B3:24:A8:3F,F0:29:29:92:6B:50,B4:E9:B0:E5:0B:D0,Bin
36,49,33,49,8
38,49,33,49,8
32,51,33,54,8
32,43,29,54,8
39,46,30,42,8
35,45,30,51,8
34,46,30,50,8
31,46,30,47,8
31,46,30,47,8
36,42,28,48,8
41,42,28,46,8
35,42,29,45,8
39,40,29,47,8
37,46,36,55,8
26,48,36,51,8
33,49,32,51,8
31,47,31,52,8
33,45,29,51,8
33,45,29,50,8
33,47,29,46,8
33,47,35,48,8
28,48,35,49,8
28,43,35,47,8
28,47,35,50,8
28,50,35,54,8
28,45,30,58,8
28,41,32,50,8
28,47,32,53,8
28,47,32,51,8
29,52,36,51,8
24,43,39,51,8
29,41,32,47,8
29,46,32,51,8
33,49,32,51,8
37,46,32,49,8
37,43,30,49,8
29,46,30,49,8
25,45,30,48,8
29,44,30,48,9
31,44,30,45,9
26,44,25,41,9
32,43,25,46,9
28,41,25,46,9
27,44,23,42,9
29,47,23,50,9
35,49,23,51,9
35,46,26,45,9
35,45,26,45,9
34,41,27,40,9
35,40,27,42,9
32,41,27,41,9
34,42,27,41,9
32,41,27,45,9
32,43,27,41,9
36,38,27,41,9
34,42,27,46,9
34,41,27,46,9
33,42,27,38,9
37,42,27,43,9
34,40,27,43,9
34,39,27,40,9
29,41,27,44,9
34,41,27,43,9
31,40,30,43,9
36,44,30,47,9
32,45,30,38,9
38,43,30,43,9
39,39,30,38,9
32,42,30,43,9
41,42,30,42,9
39,41,30,39,9
38,39,30,45,9
31,39,30,39,9
32,42,30,37,9
41,42,30,41,9
41,39,30,39,9
36,40,30,45,9
40,43,28,45,9
39,40,28,45,9
44,39,28,45,9
35,42,28,41,9
41,41,28,45,9
40,38,28,37,9
43,36,28,42,9
38,40,28,42,9
38,41,28,43,9
39,39,28,43,9
41,39,28,40,9
38,37,28,40,9
37,45,28,38,9
41,38,28,38,9
43,38,28,38,9
40,38,28,40,9
42,35,28,40,9
42,39,28,37,9
39,43,28,37,9
43,40,28,37,9
42,32,28,37,9
44,37,28,35,9
40,47,25,35,9
43,39,25,35,9
43,42,25,40,9
41,48,25,40,9
42,43,25,44,9
46,32,25,37,9
40,41,25,36,9
42,39,25,43,9
40,37,25,43,9
41,48,25,41,9
44,32,25,41,9
39,30,25,41,9
40,34,25,41,9
42,36,25,34,9
43,41,25,40,9
40,42,25,40,9
42,39,25,40,9
40,38,25,40,9
41,39,25,37,9
39,38,25,40,9
41,37,25,44,9
38,38,25,41,9
34,42,27,42,9
33,45,27,44,9
36,43,29,44,9
42,33,29,29,10
47,37,29,41,10
44,39,29,36,10
42,38,29,34,10
49,42,32,40,10
44,46,32,40,10
46,41,32,38,10
48,39,33,39,10
47,41,33,39,10
48,39,33,39,10
47,39,33,37,10
44,41,33,42,10
45,36,33,40,10
46,41,33,44,10
45,37,33,41,10
44,41,33,41,10
45,43,33,42,10
43,38,33,41,10
43,40,33,40,10
44,39,33,40,10
47,40,33,41,10
46,40,33,39,10
45,39,33,42,10
43,35,33,38,10
44,39,33,41,10
45,39,33,40,10
47,41,31,42,10
44,39,31,42,10
46,40,31,42,10
48,38,31,40,10
52,44,31,40,10
50,39,31,34,10
49,43,31,41,10
47,47,31,41,10
48,45,31,41,10
47,47,31,41,10
45,39,31,41,10
46,45,31,37,10
45,46,31,36,10
48,41,31,40,10
51,39,31,40,10
52,42,31,37,10
52,39,31,38,10
52,36,31,38,10
46,41,31,40,10
51,34,31,36,10
49,41,31,36,10
48,42,31,36,10
48,38,23,36,10
44,42,23,36,10
47,34,23,36,10
48,34,23,36,10
54,34,23,36,10
51,42,23,38,10
52,39,23,41,10
47,40,23,41,10
51,41,23,36,10
54,41,23,36,10
57,44,23,41,10
49,34,23,41,10
45,41,23,41,10
43,35,23,36,10
48,35,23,34,10
48,38,23,35,10
45,33,23,38,10
53,40,23,38,10
52,40,23,44,10
51,36,23,44,10
51,33,23,44,10
51,38,23,44,10
49,42,32,38,10
47,34,32,38,10
52,34,32,40,10
52,37,32,42,10
48,43,32,41,10
46,41,32,41,10
54,37,32,40,10
51,34,32,34,10
52,33,32,36,10
55,39,32,36,10
55,41,32,39,10
55,41,32,40,10
48,40,32,41,10
47,34,32,39,10
57,38,32,39,10
51,42,32,39,10
51,41,32,39,10
51,40,32,37,10
47,41,32,34,10
51,44,32,34,10
52,41,32,36,10
52,38,32,37,10
54,33,32,37,10
51,45,30,37,10
51,42,30,42,10
45,40,30,38,10
43,37,30,37,10
51,42,30,39,10
49,35,30,39,10
46,36,30,38,10
48,38,31,38,10
46,40,31,39,10
48,36,31,41,10
48,36,31,41,10
56,46,35,36,11
55,38,35,41,11
57,36,35,38,11
53,39,35,38,11
56,37,35,38,11
50,36,35,35,11
52,37,35,35,11
57,32,35,36,11
55,37,35,39,11
59,45,35,37,11
58,42,35,37,11
57,43,35,37,11
61,41,35,38,11
60,40,35,37,11
60,41,35,37,11
59,42,35,39,11
59,42,35,39,11
58,41,35,37,11
58,41,35,37,11
59,41,35,32,11
60,37,35,32,11
57,33,35,32,11
64,32,0,0,12
65,33,0,0,12
66,33,0,0,12
66,33,0,0,12
65,33,0,0,12
63,31,0,0,12
61,31,0,0,12
59,28,0,0,12
70,36,0,0,12
63,40,0,0,12
67,40,0,0,12
67,41,0,0,12
70,37,0,0,12
63,37,0,0,12
59,35,0,0,12
60,31,0,0,12
65,32,0,30,12
66,34,0,30,12
65,32,0,30,12
66,33,0,30,12
68,34,0,30,12
66,35,0,30,12
64,33,0,30,12
63,35,0,30,12
61,32,0,30,12
62,37,0,26,12
67,36,0,26,12
65,41,0,26,12
65,33,0,26,12
64,34,0,31,12
59,38,0,31,12
65,37,0,26,12
63,34,0,26,12
60,36,0,26,12
70,38,0,0,13
68,41,0,0,13
61,39,0,0,13
70,36,0,0,13
70,41,0,0,13
68,38,0,0,13
70,40,0,0,13
68,39,0,0,13
68,34,0,0,13
62,41,0,0,13
69,42,0,0,13
65,35,0,0,13
62,33,0,0,13
66,36,0,0,13
66,36,0,0,13
70,39,0,0,13
70,44,0,0,13
70,36,0,0,13
70,46,0,0,13
68,42,0,0,13
68,36,0,0,13
70,36,0,27,13
70,40,0,27,13
65,34,0,29,13
68,35,0,29,13
61,29,0,29,13
64,34,0,29,13
65,36,0,29,13
64,32,0,29,13
65,38,0,29,13
67,36,0,29,13
66,37,0,29,13
62,34,0,29,13
61,37,0,33,13
64,36,0,33,13
65,32,0,33,13
63,33,0,33,13
63,28,0,33,13
63,38,0,33,13
63,32,0,24,13
66,33,0,24,13
66,43,0,24,13
70,35,0,24,13
70,47,0,24,13
65,37,0,24,13
69,39,0,24,13
68,41,0,30,13
68,35,0,30,13
68,33,0,30,13
68,36,0,30,13
69,39,0,30,13
70,38,0,30,13
65,40,0,30,13
66,40,0,30,13
62,33,0,30,13
66,33,0,28,13
67,37,0,28,13
67,34,0,28,13
67,34,0,28,13
60,36,0,27,13
57,33,0,25,13
62,35,0,25,13
67,34,0,25,13
65,38,0,25,13
69,40,0,25,13
69,33,0,25,13
65,34,0,30,13
68,40,0,30,13
61,36,0,30,13
63,39,0,30,13
70,33,0,29,13
66,35,0,30,13
68,31,0,30,13
70,39,0,30,13
69,45,0,30,13
70,37,0,30,13
69,34,0,30,13
70,34,0,25,13
70,39,0,25,13
70,43,0,25,13
70,39,0,28,13
68,41,0,28,13
70,41,0,28,13
68,32,0,28,13
67,40,0,28,13
70,44,0,28,13
70,42,0,28,13
70,41,0,28,13
70,37,0,28,13
70,36,0,28,13
70,39,0,28,13
70,37,0,28,13
70,38,0,28,13
70,39,0,28,13
69,40,0,28,13
68,39,0,28,13
67,34,0,28,13
62,37,0,28,13
62,31,0,28,13
59,35,0,28,13
61,40,0,28,13
57,37,0,28,13
58,37,0,0,13
58,37,0,0,13
